MT,
     StaID,        Freq[Hz],     Re(Zxx)_Cal,     Im(Zxx)_Cal,     Re(Zxy)_Cal,     Im(Zxy)_Cal,     Re(Zyx)_Cal,     Im(Zyx)_Cal,     Re(Zyy)_Cal,     Im(Zyy)_Cal,     Re(Zxx)_Res,     Im(Zxx)_Res,     Re(Zxy)_Res,     Im(Zxy)_Res,     Re(Zyx)_Res,     Im(Zyx)_Res,     Re(Zyy)_Res,     Im(Zyy)_Res,     Re(Zxx)_Obs,     Im(Zxx)_Obs,     Re(Zxy)_Obs,     Im(Zxy)_Obs,     Re(Zyx)_Obs,     Im(Zyx)_Obs,     Re(Zyy)_Obs,     Im(Zyy)_Obs,      Re(Zxx)_SD,      Im(Zxx)_SD,      Re(Zxy)_SD,      Im(Zxy)_SD,      Re(Zyx)_SD,      Im(Zyx)_SD,      Re(Zyy)_SD,      Im(Zyy)_SD,
         2,    5.860000e-03,    3.682025e-04,   -6.278812e-05,    1.682616e-03,   -1.338189e-03,   -9.516962e-04,    4.291022e-03,    2.665472e-03,   -2.366833e-03,    1.271828e+00,   -5.800963e-01,   -6.167835e-01,    2.754356e+00,    2.199002e+00,    5.545459e+00,    1.480502e+00,    6.236270e-01,    7.600400e-04,   -2.415100e-04,    1.587600e-03,   -9.138800e-04,   -6.129400e-04,    5.145300e-03,    3.121600e-03,   -2.174700e-03,    3.080900e-04,    3.080900e-04,    1.540500e-04,    1.540500e-04,    1.540500e-04,    1.540500e-04,    3.080900e-04,    3.080900e-04,
         3,    5.860000e-03,    9.670254e-05,   -2.289328e-04,    9.629359e-04,   -6.449767e-04,   -1.658735e-03,    1.316994e-03,   -5.198899e-04,    3.440364e-04,    1.158639e+00,    1.017935e+00,   -3.452171e-01,    9.824136e-01,    1.193926e+00,   -1.623773e+00,   -1.406993e+00,   -1.180491e+00,    2.673700e-04,   -7.899100e-05,    9.375100e-04,   -5.726200e-04,   -1.570800e-03,    1.197400e-03,   -7.271400e-04,    1.701500e-04,    1.473000e-04,    1.473000e-04,    7.365200e-05,    7.365200e-05,    7.365200e-05,    7.365200e-05,    1.473000e-04,    1.473000e-04,
         4,    5.860000e-03,    1.099617e-04,   -4.582286e-04,    1.962048e-03,   -1.961345e-03,   -6.751790e-03,    4.901434e-03,   -1.458066e-04,    1.825902e-03,    7.637979e-01,   -2.773951e-01,    3.215501e-01,    1.294575e+00,    1.064698e+00,   -6.545172e-02,   -1.845547e+00,    1.174133e-01,    4.631800e-04,   -5.865100e-04,    2.036400e-03,   -1.662000e-03,   -6.505600e-03,    4.886300e-03,   -9.992800e-04,    1.880200e-03,    4.624500e-04,    4.624500e-04,    2.312300e-04,    2.312300e-04,    2.312300e-04,    2.312300e-04,    4.624500e-04,    4.624500e-04,
         5,    5.860000e-03,    1.622469e-03,   -1.337388e-03,    7.717925e-03,   -3.255596e-03,   -5.994019e-03,    5.273212e-03,   -1.056815e-02,    3.434573e-03,   -2.368655e-01,   -3.205245e-01,   -5.500304e-01,   -8.642410e-02,   -6.509823e-01,    6.587804e-02,   -1.292352e+00,    7.855624e-01,    1.428400e-03,   -1.600000e-03,    7.492600e-03,   -3.291000e-03,   -6.260700e-03,    5.300200e-03,   -1.162700e-02,    4.078200e-03,    8.193200e-04,    8.193200e-04,    4.096600e-04,    4.096600e-04,    4.096600e-04,    4.096600e-04,    8.193200e-04,    8.193200e-04,
         6,    5.860000e-03,    7.218976e-04,   -7.892029e-04,    4.587619e-03,   -4.198263e-03,   -7.978884e-03,    5.844718e-03,   -1.516285e-03,    3.721576e-03,   -7.537130e-01,    7.334679e-01,   -1.098224e+00,   -7.760260e-01,   -5.686151e-01,   -5.557877e-02,   -2.713014e+00,    2.894657e+00,    1.301500e-04,   -2.133500e-04,    4.156500e-03,   -4.502900e-03,   -8.202100e-03,    5.822900e-03,   -3.646300e-03,    5.994200e-03,    7.851100e-04,    7.851100e-04,    3.925600e-04,    3.925600e-04,    3.925600e-04,    3.925600e-04,    7.851100e-04,    7.851100e-04,
         7,    5.860000e-03,    2.644634e-03,   -3.630496e-03,    3.066264e-02,   -1.354335e-02,   -4.253591e-03,    5.099652e-03,   -2.058265e-02,    8.597118e-03,    1.026904e+00,   -1.265096e+00,    9.249967e-01,    3.303622e-01,   -4.820954e-01,    3.709609e-02,    2.381205e-03,   -4.372267e-01,    4.219700e-03,   -5.570900e-03,    3.137200e-02,   -1.329000e-02,   -4.623300e-03,    5.128100e-03,   -2.057900e-02,    7.926500e-03,    1.533800e-03,    1.533800e-03,    7.668800e-04,    7.668800e-04,    7.668800e-04,    7.668800e-04,    1.533800e-03,    1.533800e-03,
         8,    5.860000e-03,    7.671774e-04,   -4.985524e-04,    9.807900e-04,   -9.745115e-04,   -1.162949e-03,    9.168476e-04,   -3.054006e-04,    4.306311e-04,   -3.339096e-01,   -5.944556e-01,    1.439035e+00,   -1.117766e+00,    3.778877e-01,   -1.253688e+00,   -1.631365e+00,    1.591036e+00,    7.184900e-04,   -5.852300e-04,    1.085700e-03,   -1.056000e-03,   -1.135400e-03,    8.254500e-04,   -5.432700e-04,    6.626200e-04,    1.458100e-04,    1.458100e-04,    7.290300e-05,    7.290300e-05,    7.290300e-05,    7.290300e-05,    1.458100e-04,    1.458100e-04,
         9,    5.860000e-03,   -1.706679e-04,   -9.574292e-05,    9.448401e-03,   -6.501482e-03,   -3.854560e-03,    3.845585e-03,   -6.065475e-03,    4.353579e-03,   -7.344481e-01,   -8.182064e-01,   -5.847184e-01,    2.448625e+00,    1.198573e-01,    2.633808e-01,   -6.957310e-01,    1.333135e+00,   -7.351500e-04,   -7.246000e-04,    9.223700e-03,   -5.560500e-03,   -3.808500e-03,    3.946800e-03,   -6.600200e-03,    5.378200e-03,    7.685800e-04,    7.685800e-04,    3.842900e-04,    3.842900e-04,    3.842900e-04,    3.842900e-04,    7.685800e-04,    7.685800e-04,
        10,    5.860000e-03,    6.455735e-05,   -8.123641e-05,    6.812587e-04,   -8.371566e-04,   -2.456644e-03,    2.509505e-03,   -2.908185e-04,    5.831809e-05,    2.575134e-01,    1.955360e-01,    4.669415e-01,    1.007601e+00,   -1.090700e+00,    9.735169e-02,    2.029783e+00,    1.960049e-01,    1.142600e-04,   -4.349600e-05,    7.263200e-04,   -7.399200e-04,   -2.561900e-03,    2.518900e-03,    1.009500e-04,    9.614900e-05,    1.930100e-04,    1.930100e-04,    9.650300e-05,    9.650300e-05,    9.650300e-05,    9.650300e-05,    1.930100e-04,    1.930100e-04,
        11,    5.860000e-03,   -1.444736e-03,    1.448047e-03,    1.683629e-03,   -1.607725e-03,   -3.228503e-03,    3.164384e-03,   -7.179351e-04,   -3.091153e-04,   -9.363573e-01,    1.191071e-01,    3.188860e-01,    9.912727e-01,    3.830333e-01,   -1.407919e+00,   -1.240045e-01,    2.437742e-01,   -1.737600e-03,    1.485300e-03,    1.733500e-03,   -1.452700e-03,   -3.168600e-03,    2.944200e-03,   -7.567200e-04,   -2.328700e-04,    3.127700e-04,    3.127700e-04,    1.563900e-04,    1.563900e-04,    1.563900e-04,    1.563900e-04,    3.127700e-04,    3.127700e-04,
        12,    5.860000e-03,    1.774082e-03,   -1.499735e-03,    4.702431e-03,   -2.543255e-03,   -6.567421e-03,    6.799254e-03,   -2.928749e-03,    4.984629e-04,   -8.301203e-02,   -1.591526e-01,   -8.083624e-02,    5.805592e-01,   -3.068934e-01,   -7.901561e-01,    6.434670e-01,    7.217631e-01,    1.716100e-03,   -1.610900e-03,    4.674200e-03,   -2.340500e-03,   -6.674600e-03,    6.523300e-03,   -2.479300e-03,    1.002600e-03,    6.984800e-04,    6.984800e-04,    3.492400e-04,    3.492400e-04,    3.492400e-04,    3.492400e-04,    6.984800e-04,    6.984800e-04,
        13,    5.860000e-03,   -2.514569e-04,    1.839074e-04,    9.283041e-04,   -7.336320e-04,   -6.452173e-04,    7.471911e-04,    4.577042e-04,   -1.705191e-04,   -4.844198e-01,    1.063760e-01,    1.011722e+00,    6.374223e-01,   -1.003317e+00,   -4.484772e-01,    7.657515e-01,   -7.207888e-01,   -3.048400e-04,    1.956300e-04,    9.840500e-04,   -6.985100e-04,   -7.005000e-04,    7.224800e-04,    5.420900e-04,   -2.499500e-04,    1.102000e-04,    1.102000e-04,    5.510000e-05,    5.510000e-05,    5.510000e-05,    5.510000e-05,    1.102000e-04,    1.102000e-04,
        14,    5.860000e-03,    1.938383e-04,   -8.399060e-05,    7.002149e-04,   -3.696631e-04,   -5.849628e-04,    6.127122e-04,   -3.933240e-04,    6.872182e-05,   -7.942707e-01,    6.268746e-01,    4.685015e-01,   -7.944479e-01,   -4.246958e-01,   -1.143014e+00,   -9.103095e-01,    7.716131e-01,    1.282800e-04,   -3.224900e-05,    7.195500e-04,   -4.024500e-04,   -6.024900e-04,    5.655400e-04,   -4.684600e-04,    1.324100e-04,    8.253900e-05,    8.253900e-05,    4.127000e-05,    4.127000e-05,    4.127000e-05,    4.127000e-05,    8.253900e-05,    8.253900e-05,
        15,    5.860000e-03,   -9.660118e-04,    7.944742e-04,    3.490299e-03,   -2.154777e-03,   -5.905018e-04,    7.809196e-04,    2.504780e-04,   -7.143585e-05,   -3.820531e-01,    1.157741e+00,    7.806304e-01,   -5.944106e-01,   -5.499399e-02,   -9.797630e-01,    3.494954e-01,   -4.038526e-01,   -1.040600e-03,    1.020500e-03,    3.566500e-03,   -2.212800e-03,   -5.958700e-04,    6.852800e-04,    3.187100e-04,   -1.502800e-04,    1.952300e-04,    1.952300e-04,    9.761500e-05,    9.761500e-05,    9.761500e-05,    9.761500e-05,    1.952300e-04,    1.952300e-04,
        16,    5.860000e-03,   -8.045537e-05,   -4.728242e-05,    8.985849e-04,   -1.074067e-03,   -1.062504e-03,    1.275670e-03,    3.187763e-04,    1.312808e-04,    5.026118e-01,    5.957842e-01,    5.284203e-01,    1.250885e+00,    3.356615e-01,   -3.864291e-01,   -3.997327e-01,    3.326986e-01,   -5.872800e-06,    4.112600e-05,    9.377900e-04,   -9.812600e-04,   -1.037600e-03,    1.247000e-03,    2.594600e-04,    1.806500e-04,    1.483900e-04,    1.483900e-04,    7.419300e-05,    7.419300e-05,    7.419300e-05,    7.419300e-05,    1.483900e-04,    1.483900e-04,
        17,    5.860000e-03,    1.150250e-03,   -8.869247e-04,    3.436966e-03,   -1.962501e-03,   -1.008269e-03,    1.125350e-03,   -8.346446e-04,    1.259137e-04,    2.445505e-01,   -3.168714e-01,   -6.412648e-01,   -1.394988e-01,   -3.803472e-01,   -8.416192e-01,   -1.086601e-01,    1.425179e+00,    1.208800e-03,   -9.627900e-04,    3.360200e-03,   -1.979200e-03,   -1.053800e-03,    1.024600e-03,   -8.606600e-04,    4.671300e-04,    2.394200e-04,    2.394200e-04,    1.197100e-04,    1.197100e-04,    1.197100e-04,    1.197100e-04,    2.394200e-04,    2.394200e-04,
        18,    5.860000e-03,    1.241761e-03,   -1.191327e-03,    4.496358e-05,   -3.267938e-04,   -1.256556e-03,    1.422402e-03,    5.729966e-04,   -2.501040e-04,    1.690225e+00,    1.996025e+00,    3.501476e-01,    2.356392e-01,    1.624612e+00,    1.095728e+00,   -8.661780e-03,   -1.188008e+00,    1.373800e-03,   -1.035400e-03,    5.864000e-05,   -3.175900e-04,   -1.193100e-03,    1.465200e-03,    5.723200e-04,   -3.429100e-04,    7.811900e-05,    7.811900e-05,    3.905900e-05,    3.905900e-05,    3.905900e-05,    3.905900e-05,    7.811900e-05,    7.811900e-05,
