MT,
     StaID,        Freq[Hz],     Re(Zxx)_Cal,     Im(Zxx)_Cal,     Re(Zxy)_Cal,     Im(Zxy)_Cal,     Re(Zyx)_Cal,     Im(Zyx)_Cal,     Re(Zyy)_Cal,     Im(Zyy)_Cal,     Re(Zxx)_Res,     Im(Zxx)_Res,     Re(Zxy)_Res,     Im(Zxy)_Res,     Re(Zyx)_Res,     Im(Zyx)_Res,     Re(Zyy)_Res,     Im(Zyy)_Res,     Re(Zxx)_Obs,     Im(Zxx)_Obs,     Re(Zxy)_Obs,     Im(Zxy)_Obs,     Re(Zyx)_Obs,     Im(Zyx)_Obs,     Re(Zyy)_Obs,     Im(Zyy)_Obs,      Re(Zxx)_SD,      Im(Zxx)_SD,      Re(Zxy)_SD,      Im(Zxy)_SD,      Re(Zyx)_SD,      Im(Zyx)_SD,      Re(Zyy)_SD,      Im(Zyy)_SD,
         1,    2.930000e-03,   -3.142649e-03,    3.011179e-03,    1.417549e-03,    9.637057e-05,   -8.046491e-04,    9.646983e-04,   -9.966986e-05,    5.239293e-04,    5.979038e-01,   -1.668435e-01,   -1.488248e-01,    9.265490e+00,    5.831733e-01,   -6.729059e-01,    1.495389e+00,   -7.278680e-01,   -3.060300e-03,    2.988200e-03,    1.407300e-03,    7.344200e-04,   -7.644900e-04,    9.183600e-04,    1.062900e-04,    4.236800e-04,    1.377300e-04,    1.377300e-04,    6.886300e-05,    6.886300e-05,    6.886300e-05,    6.886300e-05,    1.377300e-04,    1.377300e-04,
         2,    2.930000e-03,    3.500389e-04,   -1.085484e-04,    1.307442e-03,   -9.468035e-04,   -2.638711e-04,    2.384860e-03,    1.794128e-03,   -1.722324e-03,    1.200026e+00,   -9.645701e-01,   -1.183823e-01,    2.980481e+00,    3.549761e+00,    2.837470e+00,    2.933557e+00,   -9.816769e-01,    5.860600e-04,   -2.982600e-04,    1.295800e-03,   -6.537000e-04,    8.521600e-05,    2.663900e-03,    2.371100e-03,   -1.915400e-03,    1.966800e-04,    1.966800e-04,    9.834100e-05,    9.834100e-05,    9.834100e-05,    9.834100e-05,    1.966800e-04,    1.966800e-04,
         3,    2.930000e-03,   -3.511059e-06,   -1.642575e-04,    7.700507e-04,   -5.117315e-04,   -1.189080e-03,    1.059771e-03,   -2.698381e-04,    4.333199e-04,    1.247331e+00,    2.663396e-02,    1.052577e-01,    7.389415e-01,   -5.148735e-01,   -1.723483e+00,   -1.565178e+00,    1.473647e-01,    1.443600e-04,   -1.611000e-04,    7.762900e-04,   -4.679300e-04,   -1.219600e-03,    9.576100e-04,   -4.553900e-04,    4.507900e-04,    1.185500e-04,    1.185500e-04,    5.927600e-05,    5.927600e-05,    5.927600e-05,    5.927600e-05,    1.185500e-04,    1.185500e-04,
         4,    2.930000e-03,   -3.084473e-05,   -2.857714e-04,    1.433088e-03,   -1.390633e-03,   -5.025710e-03,    4.002527e-03,    8.454803e-04,    1.684931e-03,    7.586669e-01,   -5.161756e-01,    8.464669e-01,    3.887138e-01,    1.106367e-02,   -2.186271e-01,   -1.627952e+00,    1.458282e+00,    2.448700e-04,   -4.733600e-04,    1.586900e-03,   -1.320000e-03,   -5.023700e-03,    3.962800e-03,    2.538500e-04,    2.214900e-03,    3.634200e-04,    3.634200e-04,    1.817100e-04,    1.817100e-04,    1.817100e-04,    1.817100e-04,    3.634200e-04,    3.634200e-04,
         5,    2.930000e-03,    9.742466e-04,   -1.261086e-03,    6.193303e-03,   -3.367466e-03,   -3.891742e-03,    4.349737e-03,   -8.457618e-03,    4.342318e-03,   -5.726352e-01,   -7.525945e-02,   -7.161845e-01,    4.547826e-01,    8.135199e-02,    5.561398e-01,   -5.367086e-01,    1.233365e+00,    6.104400e-04,   -1.308900e-03,    5.965800e-03,   -3.223000e-03,   -3.865900e-03,    4.526400e-03,   -8.798600e-03,    5.125900e-03,    6.353200e-04,    6.353200e-04,    3.176600e-04,    3.176600e-04,    3.176600e-04,    3.176600e-04,    6.353200e-04,    6.353200e-04,
         6,    2.930000e-03,    5.105202e-04,   -6.085228e-04,    3.447542e-03,   -3.168498e-03,   -6.067108e-03,    4.737180e-03,   -4.225716e-04,    2.872593e-03,   -8.415217e-01,    7.160433e-01,   -1.125625e+00,    5.036112e-02,    6.979630e-02,    5.851014e-01,   -1.109893e+00,    3.911524e+00,    1.600000e-05,   -1.877400e-04,    3.116800e-03,   -3.153700e-03,   -6.046600e-03,    4.909100e-03,   -1.074800e-03,    5.171200e-03,    5.876500e-04,    5.876500e-04,    2.938300e-04,    2.938300e-04,    2.938300e-04,    2.938300e-04,    5.876500e-04,    5.876500e-04,
         7,    2.930000e-03,    1.146994e-03,   -3.144677e-03,    2.441871e-02,   -1.355927e-02,   -2.430081e-03,    4.051217e-03,   -1.627634e-02,    9.051285e-03,    1.435622e-01,   -1.305948e+00,    7.908915e-01,   -8.466304e-01,    1.544382e-01,    1.250596e-01,    9.744322e-03,   -2.576006e-02,    1.314100e-03,   -4.664800e-03,    2.487900e-02,   -1.405200e-02,   -2.340200e-03,    4.124000e-03,   -1.626500e-02,    9.021300e-03,    1.164000e-03,    1.164000e-03,    5.819900e-04,    5.819900e-04,    5.819900e-04,    5.819900e-04,    1.164000e-03,    1.164000e-03,
         8,    2.930000e-03,    5.570345e-04,   -4.348903e-04,    7.012043e-04,   -7.530405e-04,   -8.719154e-04,    7.202128e-04,   -1.468063e-04,    3.745024e-04,   -2.359216e-01,   -4.129473e-01,   -2.364163e-01,   -1.936571e+00,   -2.664591e-01,   -5.867623e-01,   -4.308783e-01,    2.164097e+00,    5.308000e-04,   -4.808100e-04,    6.880600e-04,   -8.607100e-04,   -8.867300e-04,    6.875900e-04,   -1.947200e-04,    6.151500e-04,    1.112000e-04,    1.112000e-04,    5.559800e-05,    5.559800e-05,    5.559800e-05,    5.559800e-05,    1.112000e-04,    1.112000e-04,
         9,    2.930000e-03,   -7.986971e-05,   -6.567213e-05,    7.382245e-03,   -5.298732e-03,   -2.832362e-03,    2.848697e-03,   -4.423978e-03,    3.817475e-03,   -1.251708e+00,   -4.511186e-01,    1.439008e+00,    2.021739e+00,    9.303154e-01,    8.163349e-01,   -3.790855e-01,    1.267014e+00,   -8.367400e-04,   -3.384500e-04,    7.817300e-03,   -4.687500e-03,   -2.551100e-03,    3.095500e-03,   -4.653200e-03,    4.583600e-03,    6.046700e-04,    6.046700e-04,    3.023300e-04,    3.023300e-04,    3.023300e-04,    3.023300e-04,    6.046700e-04,    6.046700e-04,
        10,    2.930000e-03,    3.248305e-05,   -7.348305e-05,    5.039610e-04,   -5.556603e-04,   -1.783689e-03,    1.762672e-03,   -2.641604e-04,    1.901152e-04,    2.201400e-01,    8.140496e-02,    5.896131e-01,    2.493201e-01,   -7.740436e-01,    1.045004e+00,    1.198720e+00,   -1.848120e+00,    6.354700e-05,   -6.199600e-05,    5.455600e-04,   -5.380700e-04,   -1.838300e-03,    1.836400e-03,   -9.500900e-05,   -7.067300e-05,    1.411100e-04,    1.411100e-04,    7.055300e-05,    7.055300e-05,    7.055300e-05,    7.055300e-05,    1.411100e-04,    1.411100e-04,
        11,    2.930000e-03,   -9.631888e-04,    9.963633e-04,    1.356512e-03,   -1.057877e-03,   -2.227791e-03,    2.291834e-03,   -7.202590e-04,    9.315147e-05,   -1.145047e+00,    4.679233e-01,    2.457648e-01,    2.867916e-01,   -7.154065e-01,   -1.131103e+00,   -3.275691e-01,   -3.864128e-01,   -1.230500e-03,    1.105600e-03,    1.385200e-03,   -1.024400e-03,   -2.311300e-03,    2.159800e-03,   -7.967300e-04,    2.943400e-06,    2.334500e-04,    2.334500e-04,    1.167300e-04,    1.167300e-04,    1.167300e-04,    1.167300e-04,    2.334500e-04,    2.334500e-04,
        12,    2.930000e-03,    1.200708e-03,   -1.275532e-03,    3.906409e-03,   -2.237828e-03,   -4.637893e-03,    4.901336e-03,   -2.534295e-03,    1.137688e-03,   -1.956634e-02,   -6.559516e-02,    4.756816e-01,    7.452408e-01,   -9.223891e-01,   -2.641742e-01,    1.165873e-01,   -2.673421e-01,    1.189800e-03,   -1.312100e-03,    4.039000e-03,   -2.030100e-03,   -4.895000e-03,    4.827700e-03,   -2.469300e-03,    9.886500e-04,    5.574800e-04,    5.574800e-04,    2.787400e-04,    2.787400e-04,    2.787400e-04,    2.787400e-04,    5.574800e-04,    5.574800e-04,
        13,    2.930000e-03,   -1.995012e-04,    1.133932e-04,    7.391381e-04,   -5.160732e-04,   -4.590656e-04,    5.013251e-04,    4.038043e-04,   -1.135215e-04,   -7.471469e-02,    3.572479e-01,    1.172021e+00,   -8.710588e-02,   -7.803654e-01,    3.175966e-01,    6.250161e-01,   -1.003828e+00,   -2.056200e-04,    1.426500e-04,    7.871300e-04,   -5.196400e-04,   -4.910200e-04,    5.143300e-04,    4.549900e-04,   -1.957300e-04,    8.189500e-05,    8.189500e-05,    4.094800e-05,    4.094800e-05,    4.094800e-05,    4.094800e-05,    8.189500e-05,    8.189500e-05,
        14,    2.930000e-03,    1.418353e-04,   -1.044432e-04,    5.974184e-04,   -3.079977e-04,   -4.073705e-04,    4.439816e-04,   -3.554147e-04,    1.169231e-04,   -8.247471e-01,    7.008373e-01,    2.241974e-01,   -7.806245e-01,   -1.124701e+00,   -3.042078e-01,   -7.490280e-01,    8.050886e-01,    8.782100e-05,   -5.854400e-05,    6.047600e-04,   -3.335600e-04,   -4.442000e-04,    4.340200e-04,   -4.044700e-04,    1.696500e-04,    6.549200e-05,    6.549200e-05,    3.274600e-05,    3.274600e-05,    3.274600e-05,    3.274600e-05,    6.549200e-05,    6.549200e-05,
        15,    2.930000e-03,   -7.508592e-04,    4.849302e-04,    2.890448e-03,   -1.624809e-03,   -4.201064e-04,    5.149812e-04,    2.223793e-04,   -3.899930e-05,    9.237471e-02,    1.326520e+00,    1.209105e+00,   -4.799402e-01,    1.294307e-01,   -6.276652e-01,    3.073909e-01,   -4.536774e-01,   -7.373900e-04,    6.783500e-04,    2.978600e-03,   -1.659800e-03,   -4.106700e-04,    4.692200e-04,    2.672000e-04,   -1.051500e-04,    1.458100e-04,    1.458100e-04,    7.290700e-05,    7.290700e-05,    7.290700e-05,    7.290700e-05,    1.458100e-04,    1.458100e-04,
        16,    2.930000e-03,   -1.005428e-04,   -4.269212e-05,    6.922432e-04,   -6.798479e-04,   -7.463806e-04,    8.748129e-04,    4.037152e-04,    1.345261e-04,    6.019686e-01,    3.090520e-01,    1.284301e+00,    6.703094e-01,   -6.478769e-01,    2.496011e-01,   -4.949391e-01,    3.174436e-01,   -3.515100e-05,   -9.119800e-06,    7.620000e-04,   -6.434400e-04,   -7.815700e-04,    8.883700e-04,    3.499500e-04,    1.690100e-04,    1.086300e-04,    1.086300e-04,    5.431500e-05,    5.431500e-05,    5.431500e-05,    5.431500e-05,    1.086300e-04,    1.086300e-04,
        17,    2.930000e-03,    7.471714e-04,   -8.269122e-04,    2.822649e-03,   -1.671418e-03,   -6.994035e-04,    8.259630e-04,   -7.066650e-04,    2.695031e-04,    4.621567e-01,   -8.294096e-02,    2.694360e-01,    5.432971e-01,   -4.455035e-01,   -4.212332e-01,   -7.306949e-03,    8.314749e-01,    8.341400e-04,   -8.425200e-04,    2.848000e-03,   -1.620300e-03,   -7.413200e-04,    7.863300e-04,   -7.080400e-04,    4.259700e-04,    1.881800e-04,    1.881800e-04,    9.408800e-05,    9.408800e-05,    9.408800e-05,    9.408800e-05,    1.881800e-04,    1.881800e-04,
        18,    2.930000e-03,    9.169339e-04,   -8.932248e-04,    6.173872e-06,   -2.688315e-04,   -9.334267e-04,    9.946222e-04,    5.050987e-04,   -1.254702e-04,    2.587799e+00,    8.079155e-01,   -6.034312e-01,    1.482490e-01,    1.253174e+00,   -3.045530e-01,   -1.296497e-01,   -8.288815e-01,    1.070600e-03,   -8.452500e-04,   -1.174200e-05,   -2.644300e-04,   -8.962200e-04,    9.855800e-04,    4.974000e-04,   -1.746900e-04,    5.938100e-05,    5.938100e-05,    2.969000e-05,    2.969000e-05,    2.969000e-05,    2.969000e-05,    5.938100e-05,    5.938100e-05,
